step; process; value
1; 0; 0.56930
1; 1; 0.51579
1; 2; 0.50860
1; 3; 0.50937
1; 4; 0.27094
1; 5; 0.38718
1; 6; 0.38379
1; 7; 0.28480
1; 8; 0.47323
1; 9; 0.68621
1; 10; 0.28511
1; 11; 0.55636
1; 12; 0.43356
1; 13; 0.73857
1; 14; 0.31967
1; 15; 0.32781
1; 16; 0.64375
1; 17; 0.74729
1; 18; 0.50017
1; 19; 0.61952
1; 20; 0.48664
1; 21; 0.40069
1; 22; 0.51751
1; 23; 0.57721
1; 24; 0.76830
1; 25; 0.41954
1; 26; 0.42237
1; 27; 0.60202
1; 28; 0.59099
1; 29; 0.61351
1; 30; 0.75849
1; 31; 0.76799
1; 32; 0.75148
1; 33; 0.68015
1; 34; 0.41974
1; 35; 0.79028
1; 36; 0.74946
1; 37; 0.71024
1; 38; 0.71520
1; 39; 0.78597
1; 40; 0.89004
1; 41; 0.66415
1; 42; 0.65018
1; 43; 0.53777
1; 44; 0.62486
1; 45; 0.47145
1; 46; 0.37327
1; 47; 0.54404
1; 48; 0.76557
1; 49; 0.67506
1; 50; 0.66226
1; 51; 0.69896
1; 52; 0.56211
1; 53; 0.45383
1; 54; 0.38904
1; 55; 0.52270
1; 56; 0.54511
1; 57; 0.37639
1; 58; 0.37646
1; 59; 0.51583
1; 60; 0.52839
1; 61; 0.36404
1; 62; 0.59597
1; 63; 0.51193
2; 0; 0.26378
2; 1; 0.48364
2; 2; 0.53586
2; 3; 0.27067
2; 4; 0.46838
2; 5; 0.28459
2; 6; 0.60357
2; 7; 0.53888
2; 8; 0.46517
2; 9; 0.71362
2; 10; 0.56559
2; 11; 0.54846
2; 12; 0.30957
2; 13; 0.43015
2; 14; 0.40727
2; 15; 0.68476
2; 16; 0.64424
2; 17; 0.37496
2; 18; 0.69081
2; 19; 0.69496
2; 20; 0.73597
2; 21; 0.79439
2; 22; 0.55383
2; 23; 0.63176
2; 24; 0.49992
2; 25; 0.74455
2; 26; 0.68161
2; 27; 0.78932
2; 28; 0.66125
2; 29; 0.41511
2; 30; 0.64083
2; 31; 0.43592
2; 32; 0.58445
2; 33; 0.57309
2; 34; 0.65401
