step; process; value
1; 0; 0.22398
1; 1; 0.26831
1; 2; 0.58782
1; 3; 0.41665
1; 4; 0.68490
1; 5; 0.39256
1; 6; 0.43136
1; 7; 0.41432
1; 8; 0.58530
1; 9; 0.48338
1; 10; 0.59565
1; 11; 0.74063
1; 12; 0.73429
1; 13; 0.47598
1; 14; 0.45805
1; 15; 0.47776
1; 16; 0.54978
1; 17; 0.34028
1; 18; 0.49227
1; 19; 1.05149
1; 20; 0.72496
1; 21; 0.73937
1; 22; 0.61677
1; 23; 0.42268
1; 24; 0.62989
1; 25; 0.94433
1; 26; 0.64421
1; 27; 0.51631
1; 28; 0.83904
1; 29; 0.87323
1; 30; 0.64080
1; 31; 0.53375
1; 32; 0.56735
1; 33; 0.70015
1; 34; 0.67786
1; 35; 0.53920
1; 36; 0.69406
1; 37; 0.84480
1; 38; 0.89562
1; 39; 0.64922
1; 40; 0.59739
1; 41; 0.47931
1; 42; 0.53563
1; 43; 0.95547
1; 44; 0.90249
1; 45; 0.82484
1; 46; 0.71339
1; 47; 0.57177
1; 48; 0.48241
1; 49; 0.60729
1; 50; 0.68222
1; 51; 0.61675
1; 52; 0.77607
1; 53; 0.57915
1; 54; 0.56491
1; 55; 0.30452
1; 56; 0.44585
1; 57; 0.44233
1; 58; 0.41253
1; 59; 0.59675
1; 60; 0.69343
1; 61; 0.62143
1; 62; 0.51425
1; 63; 0.67434
2; 0; 0.44296
2; 1; 0.51302
2; 2; 0.62093
2; 3; 0.61100
2; 4; 0.68110
2; 5; 0.67368
2; 6; 0.63394
2; 7; 0.58322
2; 8; 0.30738
2; 9; 0.63284
2; 10; 0.58095
2; 11; 0.75946
2; 12; 0.83737
2; 13; 0.63140
2; 14; 0.55682
2; 15; 0.39908
2; 16; 0.40729
2; 17; 0.34524
2; 18; 0.35898
2; 19; 0.56437
2; 20; 0.56903
2; 21; 0.54410
2; 22; 0.89904
2; 23; 0.39920
2; 24; 0.43972
2; 25; 0.50478
2; 26; 0.49203
2; 27; 0.68548
2; 28; 0.43744
2; 29; 0.47408
2; 30; 0.61421
2; 31; 0.68237
2; 32; 0.52014
2; 33; 0.83090
2; 34; 0.85767
2; 35; 0.43414
2; 36; 1.05345
2; 37; 1.08687
2; 38; 1.01085
2; 39; 0.59446
2; 40; 0.75596
2; 41; 0.95848
2; 42; 0.58995
2; 43; 0.88144
2; 44; 0.96896
2; 45; 0.64296
2; 46; 0.42845
2; 47; 0.54244
2; 48; 0.39234
2; 49; 0.46593
2; 50; 0.42524
2; 51; 0.83487
2; 52; 0.91633
2; 53; 0.42005
2; 54; 0.57570
2; 55; 0.69496
2; 56; 0.57455
2; 57; 0.58317
2; 58; 0.61946
2; 59; 0.69232
2; 60; 0.56439
2; 61; 0.64598
2; 62; 0.58856
2; 63; 0.39663
3; 0; 0.22374
3; 1; 0.26643
3; 2; 0.67340
3; 3; 0.32291
3; 4; 0.51372
3; 5; 0.30622
3; 6; 0.30266
3; 7; 0.46737
3; 8; 0.52848
3; 9; 0.48582
3; 10; 0.30596
3; 11; 0.54438
3; 12; 0.89204
3; 13; 0.70512
3; 14; 0.68126
3; 15; 0.57888
3; 16; 0.48270
3; 17; 0.33859
3; 18; 0.64863
3; 19; 0.94847
3; 20; 0.85858
3; 21; 0.64603
3; 22; 0.94209
3; 23; 0.45055
3; 24; 0.35168
3; 25; 0.95626
3; 26; 0.67526
3; 27; 0.96822
3; 28; 0.59283
3; 29; 0.60899
3; 30; 0.71997
3; 31; 0.96325
3; 32; 0.75513
3; 33; 0.93025
3; 34; 0.89178
3; 35; 0.83508
3; 36; 0.88855
3; 37; 0.47290
3; 38; 0.90436
3; 39; 0.32847
3; 40; 0.40488
3; 41; 0.67781
3; 42; 0.53584
3; 43; 1.05750
3; 44; 0.92126
3; 45; 0.76512
3; 46; 0.67482
3; 47; 0.40115
3; 48; 0.56507
3; 49; 0.40536
3; 50; 0.69988
3; 51; 0.75347
3; 52; 0.79550
3; 53; 0.30623
