step; process; value
1; 0; 0.14310
1; 1; 0.13658
1; 2; 0.14410
1; 3; 0.14009
1; 4; 0.14305
1; 5; 0.16392
1; 6; 0.15061
1; 7; 0.14802
1; 8; 0.14312
1; 9; 0.14623
1; 10; 0.16750
1; 11; 0.15534
1; 12; 0.17387
1; 13; 0.17937
1; 14; 0.17689
1; 15; 0.18184
1; 16; 0.19413
1; 17; 0.22934
1; 18; 0.21171
1; 19; 0.21557
1; 20; 0.22977
1; 21; 0.24172
1; 22; 0.24637
1; 23; 0.25626
1; 24; 0.25113
1; 25; 0.26921
1; 26; 0.27489
1; 27; 0.25424
1; 28; 0.27585
1; 29; 0.25945
1; 30; 0.25963
1; 31; 0.26234
1; 32; 0.26772
1; 33; 0.26922
1; 34; 0.25304
1; 35; 0.26297
1; 36; 0.25411
1; 37; 0.26641
1; 38; 0.25082
1; 39; 0.27542
1; 40; 0.25574
1; 41; 0.26125
1; 42; 0.32367
1; 43; 0.22763
1; 44; 0.21540
1; 45; 0.21181
1; 46; 0.21432
1; 47; 0.19892
1; 48; 0.18305
1; 49; 0.19035
1; 50; 0.20067
1; 51; 0.18529
1; 52; 0.15557
1; 53; 0.15534
1; 54; 0.14693
1; 55; 0.14352
1; 56; 0.14756
1; 57; 0.15043
1; 58; 0.15282
1; 59; 0.14124
1; 60; 0.13851
1; 61; 0.13749
1; 62; 0.13909
1; 63; I should compute pixel 63
2; 0; 0.13762
2; 1; 0.13597
2; 2; 0.14700
2; 3; 0.13847
2; 4; 0.14100
2; 5; 0.15062
2; 6; 0.14880
2; 7; 0.14823
2; 8; 0.14327
2; 9; 0.15275
2; 10; 0.15228
2; 11; 0.17468
2; 12; 0.17178
2; 13; 0.18976
2; 14; 0.17480
2; 15; 0.17456
2; 16; 0.20867
2; 17; 0.21591
2; 18; 0.21151
2; 19; 0.21541
2; 20; 0.24274
2; 21; 0.24092
2; 22; 0.25913
2; 23; 0.25552
2; 24; 0.25827
2; 25; 0.24837
2; 26; 0.25881
2; 27; 0.26853
2; 28; 0.26843
