step; process; value
1; 0;
1; 1; 0.13476
1; 2; 0.19231
1; 3; 0.20140
1; 4; 0.20730
1; 5; 0.17142
1; 6; 0.18884
1; 7; 0.17488
1; 8; 0.18405
1; 9; 0.17024
1; 10; 0.17225
1; 11; 0.25128
1; 12; 0.27823
1; 13; 0.18594
1; 14; 0.17435
1; 15; 0.16988
1; 16; 0.17112
1; 17; 0.21807
1; 18; 0.20162
1; 19; 0.37537
1; 20; 0.37337
1; 21; 0.28210
1; 22; 0.31083
1; 23; 0.17240
1; 24; 0.18910
1; 25; 0.34233
1; 26; 0.30469
1; 27; 0.34232
1; 28; 0.28769
1; 29; 0.29208
1; 30; 0.33598
1; 31; 0.25867
1; 32; 0.27435
1; 33; 0.33178
1; 34; 0.38097
1; 35; 0.28023
1; 36; 0.35496
1; 37; 0.30718
1; 38; 0.31990
1; 39; 0.20605
1; 40; 0.19645
1; 41; 0.31106
1; 42; 0.30309
1; 43; 0.40099
1; 44; 0.37762
1; 45; 0.19822
1; 46; 0.19854
1; 47; 0.17040
1; 48; 0.17580
1; 49; 0.17418
1; 50; 0.18466
1; 51; 0.27988
1; 52; 0.24567
1; 53; 0.18954
1; 54; 0.17022
1; 55; 0.16941
1; 56; 0.17039
1; 57; 0.17009
1; 58; 0.17153
1; 59; 0.20873
1; 60; 0.18194
1; 61; 0.19009
1; 62; 0.18070
1; 63; 0.17072
2; 0;
2; 1; 0.13539
2; 2; 0.17037
2; 3; 0.18169
2; 4; 0.21028
2; 5; 0.17362
2; 6; 0.18512
2; 7; 0.19340
2; 8; 0.16968
2; 9; 0.17945
2; 10; 0.18275
2; 11; 0.24559
2; 12; 0.28110
2; 13; 0.24318
2; 14; 0.17669
2; 15; 0.16993
2; 16; 0.17052
2; 17; 0.21870
2; 18; 0.20217
2; 19; 0.39560
2; 20; 0.37344
2; 21; 0.29190
2; 22; 0.30950
2; 23; 0.17273
2; 24; 0.20116
2; 25; 0.31895
2; 26; 0.32432
2; 27; 0.33905
2; 28; 0.29856
2; 29; 0.29069
2; 30; 0.33169
2; 31; 0.25823
2; 32; 0.25835
2; 33; 0.33283
2; 34; 0.33366
2; 35; 0.27130
2; 36; 0.34738
2; 37; 0.31814
2; 38; 0.31730
2; 39; 0.19125
2; 40; 0.17398
2; 41; 0.32985
2; 42; 0.28255
2; 43; 0.37634
2; 44; 0.37680
2; 45; 0.20923
2; 46; 0.19890
2; 47; 0.17044
2; 48; 0.17170
2; 49; 0.18116
2; 50; 0.18777
2; 51; 0.27858
2; 52; 0.27496
2; 53; 0.18301
2; 54; 0.18517
2; 55; 0.16946
2; 56; 0.19967
2; 57; 0.17336
2; 58; 0.17098
2; 59; 0.21531
2; 60; 0.19174
2; 61; 0.17807
2; 62; 0.16963
2; 63; 0.18523
3; 0;
3; 1; 0.13509
3; 2; 0.17080
3; 3; 0.18282
3; 4; 0.20702
3; 5; 0.17056
3; 6; 0.19373
3; 7; 0.16874
3; 8; 0.17706
3; 9; 0.17271
3; 10; 0.17262
3; 11; 0.27046
3; 12; 0.28515
3; 13; 0.18459
3; 14; 0.18326
3; 15; 0.17023
3; 16; 0.17934
3; 17; 0.19834
3; 18; 0.19805
3; 19; 0.39178
3; 20; 0.40172
3; 21; 0.28353
3; 22; 0.31009
3; 23; 0.17235
3; 24; 0.18853
3; 25; 0.33194
3; 26; 0.33098
3; 27; 0.35731
3; 28; 0.28582
3; 29; 0.28977
3; 30; 0.35524
3; 31; 0.27566
3; 32; 0.25869
3; 33; 0.33610
3; 34; 0.29230
3; 35; 0.27119
3; 36; 0.33967
3; 37; 0.30417
3; 38; 0.32643
3; 39; 0.18950
3; 40; 0.17309
3; 41; 0.33442
3; 42; 0.37727
3; 43; 0.37119
3; 44; 0.39322
3; 45; 0.19970
3; 46; 0.19893
3; 47; 0.17048
3; 48; 0.17339
3; 49; 0.18114
3; 50; 0.18461
3; 51; 0.29943
3; 52; 0.24620
3; 53; 0.17207
3; 54; 0.17765
3; 55; 0.17315
3; 56; 0.17163
3; 57; 0.17035
3; 58; 0.17085
3; 59; 0.20679
3; 60; 0.18169
3; 61; 0.17200
3; 62; 0.18341
3; 63; 0.17058
4; 0;
4; 1; 0.14086
4; 2; 0.17142
4; 3; 0.18159
4; 4; 0.20732
4; 5; 0.17132
4; 6; 0.17059
4; 7; 0.16902
4; 8; 0.17713
4; 9; 0.17576
4; 10; 0.18825
4; 11; 0.27096
4; 12; 0.28105
4; 13; 0.18419
4; 14; 0.18507
4; 15; 0.16984
4; 16; 0.17066
4; 17; 0.19958
4; 18; 0.19899
4; 19; 0.37479
4; 20; 0.37555
4; 21; 0.27432
4; 22; 0.32948
4; 23; 0.17259
4; 24; 0.18851
4; 25; 0.32907
4; 26; 0.30471
4; 27; 0.33997
4; 28; 0.28004
4; 29; 0.31576
4; 30; 0.34223
4; 31; 0.27459
4; 32; 0.27850
4; 33; 0.33708
4; 34; 0.30103
4; 35; 0.27377
4; 36; 0.33880
4; 37; 0.30420
4; 38; 0.32889
4; 39; 0.18956
4; 40; 0.17847
4; 41; 0.30957
4; 42; 0.29982
4; 43; 0.39272
4; 44; 0.38042
4; 45; 0.19912
4; 46; 0.19880
4; 47; 0.17009
4; 48; 0.18015
4; 49; 0.19264
4; 50; 0.18375
4; 51; 0.29626
4; 52; 0.24538
4; 53; 0.17294
4; 54; 0.17006
4; 55; 0.16929
4; 56; 0.16901
4; 57; 0.18776
4; 58; 0.22666
4; 59; 0.21653
4; 60; 0.18338
4; 61; 0.17792
4; 62; 0.22973
4; 63; 0.16829
5; 0;
5; 1; 0.13505
5; 2; 0.17194
5; 3; 0.18818
5; 4; 0.22461
5; 5; 0.17130
5; 6; 0.17062
5; 7; 0.16914
5; 8; 0.16936
5; 9; 0.17396
5; 10; 0.17227
5; 11; 0.24578
5; 12; 0.27769
5; 13; 0.19080
5; 14; 0.17478
5; 15; 0.17130
5; 16; 0.17130
5; 17; 0.20560
5; 18; 0.20235
5; 19; 0.38543
5; 20; 0.37882
5; 21; 0.27323
5; 22; 0.32701
5; 23; 0.17382
5; 24; 0.19022
5; 25; 0.31754
5; 26; 0.32830
5; 27; 0.34025
5; 28; 0.30622
5; 29; 0.29074
5; 30; 0.35173
5; 31; 0.27691
5; 32; 0.28365
5; 33; 0.33776
5; 34; 0.29301
5; 35; 0.28897
5; 36; 0.35664
5; 37; 0.31276
5; 38; 0.32711
5; 39; 0.18868
5; 40; 0.17436
5; 41; 0.32441
5; 42; 0.29669
5; 43; 0.37143
5; 44; 0.39548
5; 45; 0.19821
5; 46; 0.19883
5; 47; 0.17049
5; 48; 0.17062
5; 49; 0.17536
5; 50; 0.24347
5; 51; 0.27823
5; 52; 0.24757
5; 53; 0.17183
5; 54; 0.20205
5; 55; 0.17428
5; 56; 0.16876
5; 57; 0.18748
5; 58; 0.18670
5; 59; 0.22379
5; 60; 0.18136
5; 61; 0.17123
5; 62; 0.17037
5; 63; 0.16952
6; 0;
6; 1; 0.13542
6; 2; 0.17124
6; 3; 0.20776
6; 4; 0.20713
6; 5; 0.17117
6; 6; 0.17038
6; 7; 0.18270
6; 8; 0.17427
6; 9; 0.17240
6; 10; 0.17319
6; 11; 0.25141
6; 12; 0.27813
6; 13; 0.18936
6; 14; 0.17496
6; 15; 0.16998
6; 16; 0.17202
6; 17; 0.21537
6; 18; 0.19814
6; 19; 0.37639
6; 20; 0.37659
6; 21; 0.27343
6; 22; 0.34607
6; 23; 0.17217
6; 24; 0.18916
6; 25; 0.31762
6; 26; 0.30361
6; 27; 0.33881
6; 28; 0.27263
6; 29; 0.29279
6; 30; 0.33176
6; 31; 0.30336
6; 32; 0.25686
6; 33; 0.35462
6; 34; 0.35178
6; 35; 0.27110
6; 36; 0.33873
6; 37; 0.33977
6; 38; 0.31950
6; 39; 0.18899
6; 40; 0.17200
6; 41; 0.30998
6; 42; 0.30111
6; 43; 0.38749
6; 44; 0.37936
6; 45; 0.19970
6; 46; 0.20121
6; 47; 0.17169
6; 48; 0.19465
6; 49; 0.17584
6; 50; 0.18419
6; 51; 0.28636
6; 52; 0.24658
6; 53; 0.17929
6; 54; 0.17012
6; 55; 0.17026
6; 56; 0.16998
6; 57; 0.17019
6; 58; 0.24447
6; 59; 0.22649
6; 60; 0.18674
6; 61; 0.17318
6; 62; 0.17062
6; 63; 0.16864
7; 0;
7; 1; 0.14423
7; 2; 0.17063
7; 3; 0.18206
7; 4; 0.20902
7; 5; 0.17108
7; 6; 0.16998
7; 7; 0.16902
7; 8; 0.16989
7; 9; 0.17108
7; 10; 0.19432
7; 11; 0.24489
7; 12; 0.27991
7; 13; 0.18449
7; 14; 0.17755
7; 15; 0.17228
7; 16; 0.17598
7; 17; 0.21829
7; 18; 0.19889
7; 19; 0.39691
7; 20; 0.38473
7; 21; 0.30128
7; 22; 0.30923
7; 23; 0.18334
7; 24; 0.20745
7; 25; 0.37797
7; 26; 0.30388
7; 27; 0.33955
7; 28; 0.28999
7; 29; 0.28972
7; 30; 0.35222
7; 31; 0.25859
7; 32; 0.25698
7; 33; 0.34735
7; 34; 0.29154
7; 35; 0.27814
7; 36; 0.33802
7; 37; 0.30582
7; 38; 0.32023
7; 39; 0.20952
7; 40; 0.17190
7; 41; 0.33191
7; 42; 0.27405
7; 43; 0.37350
7; 44; 0.37667
7; 45; 0.19878
7; 46; 0.19935
7; 47; 0.17137
7; 48; 0.17810
7; 49; 0.18322
7; 50; 0.18556
7; 51; 0.27789
7; 52; 0.24722
7; 53; 0.17367
7; 54; 0.17005
7; 55; 0.16934
7; 56; 0.17025
7; 57; 0.17215
7; 58; 0.22866
7; 59; 0.22202
7; 60; 0.18485
7; 61; 0.17272
7; 62; 0.17031
7; 63; 0.17740
8; 0;
8; 1; 0.13522
8; 2; 0.17026
8; 3; 0.19104
8; 4; 0.21527
8; 5; 0.17321
8; 6; 0.17030
8; 7; 0.17024
8; 8; 0.17500
8; 9; 0.17408
8; 10; 0.17283
8; 11; 0.24551
8; 12; 0.27819
8; 13; 0.20167
8; 14; 0.17458
8; 15; 0.17287
8; 16; 0.17166
8; 17; 0.21436
8; 18; 0.21683
8; 19; 0.37617
8; 20; 0.37284
8; 21; 0.35901
8; 22; 0.30931
8; 23; 0.17248
8; 24; 0.18929
8; 25; 0.31733
8; 26; 0.32201
8; 27; 0.36025
8; 28; 0.27202
8; 29; 0.29225
8; 30; 0.33134
8; 31; 0.25759
8; 32; 0.26523
8; 33; 0.33234
8; 34; 0.29145
8; 35; 0.29522
8; 36; 0.34016
8; 37; 0.30500
8; 38; 0.31777
8; 39; 0.20474
8; 40; 0.17182
8; 41; 0.30921
8; 42; 0.27688
8; 43; 0.38884
8; 44; 0.38961
8; 45; 0.22735
8; 46; 0.21762
8; 47; 0.17083
8; 48; 0.17784
8; 49; 0.18518
8; 50; 0.18461
8; 51; 0.29115
8; 52; 0.24868
